match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,home_penalty_score,away_penalty_score,status,result_type,home_xg,away_xg,referee_id,player_of_the_match_id,stage_name,home_source_match_id,away_source_match_id,home_source_type,away_source_type,notes
35,2026-06-20,21:00,1,14.0,21.0,23.0,5.0,1.0,,,Completed,Regular,3.45,0.88,3.0,531.0,,,,,,
36,2026-06-20,23:59,1,16.0,24.0,22.0,0.0,4.0,,,Completed,Regular,0.35,3.12,4.0,564.0,,,,,,
37,2026-06-21,15:00,1,11.0,25.0,27.0,0.0,0.0,,,Completed,Regular,1.45,0.62,5.0,677.0,,,,,,
38,2026-06-21,18:00,1,13.0,28.0,26.0,1.0,3.0,,,Completed,Regular,0.55,2.15,6.0,660.0,,,,,,
39,2026-06-21,21:00,1,15.0,29.0,31.0,4.0,0.0,,,Completed,Regular,3.28,0.25,7.0,749.0,,,,,,
40,2026-06-21,23:59,1,2.0,32.0,30.0,2.0,2.0,,,Completed,Regular,1.65,1.1,8.0,755.0,,,,,,
41,2026-06-22,15:00,1,4.0,33.0,35.0,3.0,0.0,,,Completed,Regular,2.21,0.45,9.0,842.0,,,,,,
42,2026-06-22,18:00,1,6.0,36.0,34.0,3.0,2.0,,,Completed,Regular,1.95,1.48,10.0,919.0,,,,,,
43,2026-06-22,21:00,1,8.0,37.0,39.0,2.0,0.0,,,Completed,Regular,1.78,0.55,11.0,946.0,,,,,,
44,2026-06-22,23:59,1,10.0,40.0,38.0,1.0,2.0,,,Completed,Regular,0.88,1.92,12.0,984.0,,,,,,
45,2026-06-23,15:00,1,12.0,41.0,43.0,5.0,0.0,,,Completed,Regular,3.54,0.42,13.0,1047.0,,,,,,
46,2026-06-23,18:00,1,14.0,44.0,42.0,1.0,0.0,,,Completed,Regular,1.62,0.58,14.0,1120.0,,,,,,
47,2026-06-23,21:00,1,16.0,45.0,47.0,0.0,0.0,,,Completed,Regular,1.12,0.89,15.0,1147.0,,,,,,
48,2026-06-23,23:59,1,1.0,48.0,46.0,0.0,1.0,,,Completed,Regular,0.42,1.48,16.0,1181.0,,,,,,
49,2026-06-24,18:00,1,1.0,4.0,1.0,0.0,3.0,,,Completed,Regular,1.1,1.27,1.0,20.0,,,,,,
50,2026-06-24,18:00,1,7.0,2.0,3.0,1.0,0.0,,,Completed,Regular,1.26,1.39,2.0,38.0,,,,,,
51,2026-06-24,22:00,1,5.0,8.0,5.0,2.0,1.0,,,Completed,Regular,0.71,1.35,3.0,191.0,,,,,,
52,2026-06-24,22:00,1,6.0,6.0,7.0,3.0,1.0,,,Completed,Regular,1.48,0.95,4.0,149.0,,,,,,
53,2026-06-25,18:00,1,2.0,12.0,9.0,0.0,3.0,,,Completed,Regular,0.45,2.18,5.0,215.0,,,,,,
54,2026-06-25,18:00,1,10.0,10.0,11.0,4.0,2.0,,,Completed,Regular,2.35,1.12,6.0,236.0,,,,,,
55,2026-06-25,22:00,1,3.0,16.0,13.0,3.0,2.0,,,Completed,Regular,1.62,1.45,7.0,398.0,,,,,,
56,2026-06-25,22:00,1,15.0,14.0,15.0,0.0,0.0,,,Completed,Regular,0.55,0.48,8.0,339.0,,,,,,
57,2026-06-26,18:00,1,9.0,20.0,17.0,2.0,1.0,,,Completed,Regular,1.28,1.55,9.0,514.0,,,,,,
58,2026-06-26,18:00,1,11.0,18.0,19.0,0.0,2.0,,,Completed,Regular,0.32,1.68,10.0,487.0,,,,,,
59,2026-06-26,22:00,1,12.0,24.0,21.0,1.0,3.0,,,Completed,Regular,0.62,2.15,11.0,539.0,,,,,,
60,2026-06-26,22:00,1,16.0,22.0,23.0,1.0,1.0,,,Completed,Regular,1.12,0.95,12.0,557.0,,,,,,
61,2026-06-27,18:00,1,4.0,28.0,25.0,1.0,5.0,,,Completed,Regular,0.48,3.25,13.0,634.0,,,,,,
62,2026-06-27,18:00,1,8.0,26.0,27.0,1.0,1.0,,,Completed,Regular,0.85,0.92,14.0,699.0,,,,,,
63,2026-06-27,22:00,1,13.0,32.0,29.0,0.0,1.0,,,Completed,Regular,0.78,1.35,15.0,743.0,,,,,,
64,2026-06-27,22:00,1,14.0,30.0,31.0,0.0,0.0,,,Completed,Regular,0.42,0.38,16.0,755.0,,,,,,
65,2026-06-26,18:00,1,10.0,36.0,33.0,1.0,4.0,,,Completed,Regular,1.3,0.96,1.0,839.0,,,,,,
66,2026-06-26,18:00,1,2.0,34.0,35.0,5.0,0.0,,,Completed,Regular,3.01,0.14,2.0,871.0,,,,,,
67,2026-06-27,22:00,1,15.0,40.0,37.0,1.0,3.0,,,Completed,Regular,0.76,2.13,3.0,946.0,,,,,,
68,2026-06-27,22:00,1,3.0,38.0,39.0,3.0,3.0,,,Completed,Regular,1.62,1.44,4.0,969.0,,,,,,
69,2026-06-28,18:00,1,13.0,44.0,41.0,0.0,0.0,,,Completed,Regular,1.62,0.73,5.0,1041.0,,,,,,
70,2026-06-28,18:00,1,9.0,42.0,43.0,3.0,1.0,,,Completed,Regular,2.35,0.2,6.0,1086.0,,,,,,
71,2026-06-28,22:00,1,2.0,48.0,45.0,0.0,2.0,,,Completed,Regular,0.69,1.39,7.0,1154.0,,,,,,
72,2026-06-28,22:00,1,14.0,46.0,47.0,2.0,1.0,,,Completed,Regular,0.42,0.74,8.0,1187.0,,,,,,
73,2026-06-29,12:00,2,3.0,2.0,5.0,0.0,1.0,,,Completed,Regular,0.13,1.32,17.0,111.0,,,,,,
74,2026-06-29,23:00,2,11.0,9.0,22.0,2.0,1.0,,,Completed,Regular,1.69,0.23,18.0,213.0,,,,,,
75,2026-06-30,02:30,2,10.0,17.0,14.0,1.0,1.0,3.0,4.0,Completed,Penalties,0.72,0.42,19.0,350.0,,,,,,
76,2026-06-30,07:00,2,8.0,21.0,10.0,1.0,1.0,2.0,3.0,Completed,Penalties,0.23,1.4,8.0,248.0,,,,,,
77,2026-06-30,23:00,2,4.0,19.0,36.0,1.0,2.0,,,Completed,Regular,1.15,2.02,7.0,930.0,,,,,,
78,2026-07-01,03:00,2,2.0,33.0,23.0,3.0,0.0,,,Completed,Regular,3.17,0.67,6.0,842.0,,,,,,
79,2026-07-01,07:00,2,1.0,1.0,20.0,2.0,0.0,,,Completed,Regular,1.02,0.73,20.0,16.0,,,,,,
80,2026-07-01,22:00,2,9.0,45.0,42.0,2.0,1.0,,,Completed,Regular,2.04,0.76,21.0,1153.0,,,,,,
81,2026-07-02,02:00,2,16.0,25.0,34.0,3.0,2.0,,,Completed,AET,1.74,3.58,22.0,632.0,,,,,,
82,2026-07-02,06:00,2,15.0,13.0,6.0,2.0,0.0,,,Completed,Regular,0.92,0.25,23.0,329.0,,,,,,
83,2026-07-03,01:00,2,3.0,29.0,39.0,3.0,0.0,,,Completed,Regular,2.84,0.32,24.0,749.0,,,,,,
84,2026-07-03,05:00,2,6.0,41.0,46.0,2.0,1.0,,,Completed,Regular,2.18,1.34,25.0,1047.0,,,,,,
85,2026-07-03,09:00,2,5.0,8.0,38.0,2.0,0.0,,,Completed,Regular,2.52,0.73,26.0,189.0,,,,,,
86,2026-07-04,00:00,2,4.0,15.0,26.0,1.0,1.0,2.0,4.0,Completed,Penalties,0.87,1.36,27.0,660.0,,,,,,
87,2026-07-04,04:00,2,13.0,37.0,30.0,3.0,2.0,,,Completed,AET,2.16,0.46,28.0,946.0,,,,,,
88,2026-07-04,07:30,2,12.0,44.0,47.0,1.0,0.0,,,Completed,Regular,2.19,0.26,5.0,1129.0,,,,,,
89,2026-07-04,23:00,3,11.0,5.0,10.0,0.0,3.0,,,Completed,Regular,0.8,1.2,3.0,242.0,Round of 16,73,76,winner,winner,Winner match 73 vs Winner match 76
90,2026-07-04,21:00,3,14.0,14.0,33.0,0.0,1.0,,,Completed,Regular,0.3,1.8,13.0,350.0,Round of 16,75,78,winner,winner,Winner match 75 vs Winner match 78
91,2026-07-05,20:00,3,4.0,9.0,36.0,1.0,2.0,,,Completed,Regular,2.61,1.05,14.0,919.0,Round of 16,74,77,winner,winner,Winner match 74 vs Winner match 77
92,2026-07-06,01:00,3,1.0,1.0,45.0,2.0,3.0,,,Completed,Regular,1.88,1.61,14.0,1154.0,Round of 16,79,80,winner,winner,Winner match 79 vs Winner match 80
93,2026-07-06,19:00,3,13.0,41.0,29.0,,,,,Scheduled,,,,4.0,,Round of 16,84,83,winner,winner,Winner match 84 vs Winner match 83
94,2026-07-07,00:00,3,15.0,13.0,25.0,,,,,Scheduled,,,,21.0,,Round of 16,82,81,winner,winner,Winner match 82 vs Winner match 81
95,2026-07-07,16:00,3,12.0,37.0,26.0,,,,,Scheduled,,,,1.0,,Round of 16,87,86,winner,winner,Winner match 87 vs Winner match 86
96,2026-07-07,20:00,3,16.0,8.0,44.0,,,,,Scheduled,,,,6.0,,Round of 16,85,88,winner,winner,Winner match 85 vs Winner match 88
97,2026-07-09,20:00,4,10.0,33.0,10.0,,,,,Scheduled,,,,,,Quarter-finals,90,89,winner,winner,Winner match 90 vs Winner match 89
98,2026-07-10,19:00,4,3.0,,,,,,,Scheduled,,,,,,Quarter-finals,93,94,winner,winner,Winner match 93 vs Winner match 94
99,2026-07-11,21:00,4,13.0,36.0,45.0,,,,,Scheduled,,,,,,Quarter-finals,91,92,winner,winner,Winner match 91 vs Winner match 92
100,2026-07-12,01:00,4,12.0,,,,,,,Scheduled,,,,,,Quarter-finals,95,96,winner,winner,Winner match 95 vs Winner match 96
101,2026-07-14,,5,,,,,,,,Scheduled,,,,,,Semi-finals,97,98,winner,winner,Winner match 97 vs Winner match 98
102,2026-07-15,,5,,,,,,,,Scheduled,,,,,,Semi-finals,99,100,winner,winner,Winner match 99 vs Winner match 100
103,2026-07-18,,6,,,,,,,,Scheduled,,,,,,Third-place match,101,102,loser,loser,Loser match 101 vs Loser match 102
104,2026-07-19,,7,,,,,,,,Scheduled,,,,,,Final,101,102,winner,winner,Winner match 101 vs Winner match 102
